movie_id,title,year,runtime,genres,director,top_cast,movie_keywords,overview,language,production_companies,production_countries,budget,revenue,vote_average,vote_count,popularity
11,Seven (Se7en),1995,106.0,"['Comedy', 'Drama', 'Romance']",Rob Reiner,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox']","['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",en,"['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],62000000.0,107879496.0,6.5,199.0,6.318445
12,"Usual Suspects, The",1995,88.0,"['Comedy', 'Horror']",Mel Brooks,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck']","['dracula', 'spoof']","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",en,"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']","['France', 'United States of America']",,,5.7,210.0,5.430331
13,Mighty Aphrodite,1995,78.0,"['Family', 'Animation', 'Adventure']",Simon Wells,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",en,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['United States of America'],,11348324.0,7.1,423.0,12.140733
14,"Postino, Il",1994,192.0,"['History', 'Drama']",Oliver Stone,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",en,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],44000000.0,13681765.0,7.1,72.0,5.092
15,Mr. Holland's Opus,1995,119.0,"['Action', 'Adventure']",Renny Harlin,"['Geena Davis', 'Matthew Modine', 'Frank Langella']","['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",en,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']",98000000.0,10017322.0,5.7,137.0,7.284477
16,French Twist (Gazon maudit),1995,178.0,"['Drama', 'Crime']",Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,en,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']",52000000.0,116112375.0,7.8,1343.0,10.137389
17,From Dusk Till Dawn,1996,136.0,"['Drama', 'Romance']",Ang Lee,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant']","['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",en,"['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",16500000.0,135000000.0,7.2,364.0,10.673167
18,"White Balloon, The",1995,98.0,"['Crime', 'Comedy']",Allison Anders,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']","['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,en,"['Miramax Films', 'A Band Apart']",['United States of America'],4000000.0,4300000.0,6.5,539.0,9.026586
19,Antonia's Line,1995,90.0,"['Crime', 'Comedy', 'Adventure']",Steve Oedekerk,"['Jim Carrey', 'Ian McNeice', 'Simon Callow']","['africa', 'indigenous', 'human animal relationship', 'bat']","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",en,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],30000000.0,212385533.0,6.1,1128.0,8.205448
20,Angels and Insects,1995,103.0,"['Action', 'Comedy', 'Crime']",Joseph Ruben,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",en,['Columbia Pictures'],['United States of America'],60000000.0,35431113.0,5.4,224.0,7.337906
21,Muppet Treasure Island,1996,105.0,"['Comedy', 'Thriller', 'Crime']",Barry Sonnenfeld,"['John Travolta', 'Gene Hackman', 'Rene Russo']","['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",en,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],30250000.0,115101622.0,6.4,305.0,12.669608
22,Braveheart,1995,124.0,"['Drama', 'Thriller']",Jon Amiel,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton']","['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,en,"['Regency Enterprises', 'New Regency Pictures']",['United States of America'],,,6.5,199.0,10.701801
23,Taxi Driver,1976,132.0,"['Action', 'Adventure', 'Crime', 'Thriller']",Richard Donner,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']","['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",en,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']",50000000.0,30303072.0,6.0,394.0,11.065939
24,Rumble in the Bronx,1995,111.0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",Victor Salva,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']","['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",en,"['Caravan Pictures', 'Hollywood Pictures']",['United States of America'],,,6.3,143.0,12.133094
25,"Birdcage, The",1996,112.0,"['Drama', 'Romance']",Mike Figgis,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",en,"['United Artists', 'Intial Productions']",['United States of America'],3600000.0,49800000.0,7.1,365.0,10.332025
26,"Brothers McMullen, The",1995,123.0,['Drama'],Oliver Parker,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']","['shakespeare', 'jealousy', 'friends', 'moor']",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,en,"['Columbia Pictures', 'Castle Rock Entertainment']",['Italy'],,,7.0,33.0,1.845899
27,Bad Boys,1995,100.0,"['Comedy', 'Drama', 'Family']",Lesli Linka Glatter,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']","['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",en,['New Line Cinema'],['United States of America'],12000000.0,27400000.0,6.6,91.0,8.681325
28,Apollo 13,1995,104.0,"['Drama', 'Romance']",Roger Michell,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']","['captain', 'napoleonic wars', 'old flame', 'admiral']","This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a ficially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",en,['BBC Films'],"['United Kingdom', 'France']",,,7.4,36.0,2.228434
29,Batman Forever,1995,108.0,"['Fantasy', 'Science Fiction', 'Adventure']",Jean-Pierre Jeunet,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",fr,"['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']",18000000.0,1738611.0,7.6,308.0,9.822423
30,Belle de jour,1967,108.0,"['Drama', 'Crime']",Zhang Yimou,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao']","['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,zh,"['Ministère des Affaires Étrangères', 'Alpha Films', 'La Sept Cinéma']","['China', 'France']",,,6.5,17.0,1.100915
31,Crimson Tide,1995,99.0,"['Drama', 'Crime']",John N. Smith,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']","['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",en,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],,180000000.0,6.4,249.0,9.481338
32,Crumb,1994,129.0,"['Science Fiction', 'Thriller', 'Mystery']",Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",en,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],29500000.0,168840000.0,7.4,2470.0,12.297305
33,Desperado,1995,50.0,"['Romance', 'Adventure']",Jean-Jacques Annaud,"['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce']","['Desperado', 'Robert Rodriguez', 'Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Action', 'Thriller', 'Revenge', 'Mexico']","Desperado is a 1995 American action film directed by Robert Rodriguez, starring Antonio Banderas, Salma Hayek, and Joaquim de Almeida. The film follows the story of El Mariachi, a Mexican folk hero, who seeks revenge against a Mexican crime lord.",fr,['Iwerks Entertainment'],"['France', 'United States of America']",,,6.8,4.0,0.745542
34,"Doom Generation, The",1995,89.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",Chris Noo,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdid the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",en,"['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",30000000.0,254134910.0,6.0,756.0,14.404764
35,Free Willy 2: The Adventure Home,1995,121.0,"['History', 'Drama', 'Romance']",Christopher Hampton,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']","['england', 'painter', 'conscientious objector', 'independent film', 'soldier']","The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",en,"['StudioCanal', 'Cinéa', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']","['France', 'United Kingdom']",,,6.4,16.0,1.493361
36,Mad Love,1995,122.0,['Drama'],Tim Robbins,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']",A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,en,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']",11000000.0,39363635.0,7.3,350.0,6.891317
37,Nadja,1994,51.0,"['Adventure', 'History', 'Drama', 'Family']",Stephen Low,"['Peter Reznick', 'John McDonough', 'Avi Hoffman']","['horror', 'comedy', '1994', 'American', 'film', 'Nadja']","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",en,['Sony New Technologies'],['United States of America'],,,3.5,2.0,0.114469
38,"Net, The",1995,101.0,"['Comedy', 'Family', 'Romance']",Andy Tent,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']","['orphan', 'identical twin']","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",en,"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']",['United States of America'],,,6.1,149.0,7.777735
39,Strange Days,1995,97.0,"['Comedy', 'Drama', 'Romance']",Amy Heckerling,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",en,['Paramount Pictures'],['United States of America'],12000000.0,,6.9,828.0,9.882383
40,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,106.0,['Drama'],Darrell James Roodt,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson']",['south africa'],A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,en,"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",['South Africa'],,676525.0,6.7,13.0,0.894647
41,Billy Madison,1995,104.0,"['Drama', 'War']",Richard Loncraine,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent']","['england', 'shakespeare', 'kidnapping', 'murder', 'king']",Shakespeare's Play transplanted into a 1930s setting.,en,"['British Screen', 'Mayfair Entertainment International']","['United Kingdom', 'United States of America']",,,6.9,50.0,4.561387
42,Clerks,1994,119.0,"['Action', 'Crime', 'Drama', 'History']",Albert Hughes,"['Larenz Tate', 'Keith David', 'Chris Tucker']","['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']","Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",en,"['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']",['United States of America'],10000000.0,,6.6,80.0,9.87957
43,Disclosure,1994,117.0,"['Drama', 'Romance']",Michael Hoffman,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']","['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']","An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",en,['Miramax Films'],['United States of America'],19000000.0,,6.3,30.0,10.979269
44,Dolores Claiborne,1994,101.0,"['Action', 'Fantasy']",Paul W.S. Anderson,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",en,"['New Line Cinema', 'Threshold Entertainment']",['United States of America'],18000000.0,122195920.0,5.4,452.0,10.870138
45,Eat Drink Man Woman,1994,106.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",Gus Van Sant,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']","['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",en,"['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America'],20000000.0,21284514.0,6.7,177.0,10.448481
